Last name,First name,Middle name,Role,School,Grade
Whitfield,Alexandra,Angelina,Teacher,Westside,
Rodgers,Aubree,Josephine,Teacher,Southside,
Hardy,Sadie,Madison,Student,Eastside,4
Hoffman,Christian,Gunner,Student,Southside,4
Haynes,Aniyah,Sawyer,Student,Northside,12
Hughes,Michael,Zayden,Teacher,Westside,
Wilkerson,Lucille,Kira,Student,Southside,7
Mckee,Ryan,Natalie,Teacher,Northside,
Martínez,Skye,Briana,Student,Northside,8
Berg,Sienna,Briella,Teacher,Westside,
Molina,Abigail,Sienna,Student,Northside,10
Allen,Joaquín,Lennox,Student,Westside,5
Cochran,Luna,Keira,Student,Eastside,6
Atkins,Tatum,Leighton,Teacher,Southside,
Kramer,Lila,Hazel,Teacher,Northside,
Mann,Marshall,Devin,Student,Westside,8
Houston,Delilah,Maeve,Student,Westside,10
Sims,Drew,Skyler,Student,Westside,8
Greene,Audrey,Olivia,Student,Southside,5
Cochran,Zane,Atticus,Student,Northside,4
Stout,Pierce,Raymond,Student,Eastside,3
Walls,Daleyza,Aisha,Teacher,Northside,
López,Matilda,Mary,Teacher,Eastside,
Summers,Danny,Edward,Teacher,Eastside,
Cole,Elias,Zion,Teacher,Westside,
Lyons,Messiah,Killian,Student,Northside,2
Sparks,Kyleigh,Logan,Student,Eastside,12
Ellis,Pierce,Ivan,Student,Westside,9
Wilder,Dante,Aarón,Student,Eastside,12
Rice,Titus,Ethan,Teacher,Southside,
Hood,Mckinley,Alexandria,Teacher,Southside,
Boyer,Amari,Logan,Teacher,Eastside,
Kirk,Nylah,Annalise,Teacher,Southside,
Weaver,Adelyn,Kaydence,Teacher,Eastside,
Hurley,Atticus,Finley,Student,Westside,5
Rice,Andres,Louis,Teacher,Southside,
Griffith,Cheyenne,Leia,Student,Westside,11
Townsend,Mohamed,Josue,Teacher,Eastside,
Malone,Sage,Luna,Teacher,Westside,
Flores,Atticus,Carson,Teacher,Northside,
Ferguson,Cooper,Maxwell,Teacher,Eastside,
Cortez,Jamie,Katie,Teacher,Northside,
Christensen,Serena,Carmen,Teacher,Southside,
Fitzpatrick,Sofía,Delaney,Teacher,Westside,
Davidson,John,Tucker,Student,Southside,5
Leach,Ryder,Damian,Teacher,Eastside,
Holland,Adelynn,Natalie,Student,Southside,11
Guy,Ivy,Mariana,Student,Eastside,1
Steele,Quentin,Matteo,Student,Northside,4
Fletcher,Valeria,Sara,Teacher,Southside,
Cobb,Isabel,Josie,Teacher,Eastside,
Gibson,River,Grace,Teacher,Southside,
Clarke,Desmond,Grady,Teacher,Northside,
Russo,Natalie,Aria,Teacher,Eastside,
Holden,Hazel,Callie,Teacher,Southside,
Greene,Braylen,Gunner,Teacher,Southside,
Bauer,Layla,Eleanor,Student,Eastside,9
Cannon,Lilah,Amanda,Teacher,Northside,
West,Brady,Kyler,Teacher,Southside,
Turner,Andres,Maximilian,Student,Westside,7
Sánchez,Logan,Wade,Teacher,Northside,
Day,Aurora,Kelsey,Student,Eastside,11
Stafford,Emely,Camila,Student,Southside,K
Bender,Deacon,Edwin,Teacher,Westside,
Holmes,Ariah,Brynlee,Teacher,Westside,
Barrett,Margot,Sophie,Teacher,Eastside,
Lester,Ismael,Karter,Student,Westside,9
Bowers,Brooks,Tucker,Student,Northside,3
Arnold,Tyson,Colton,Teacher,Eastside,
Mcbride,River,Keegan,Teacher,Northside,
Duran,Emersyn,Aviana,Teacher,Northside,
Pickett,Harvey,Rafael,Student,Southside,7
Meyers,Albert,Joaquín,Teacher,Westside,
Meyers,Braxton,Nico,Teacher,Westside,
Gordon,Alayna,Vivienne,Teacher,Eastside,
Carr,Luka,Mario,Teacher,Eastside,
Hebert,Trevor,Khalil,Student,Northside,8
Mccormick,Giovanni,Zachary,Student,Northside,1
Hutchinson,Braelyn,Peyton,Teacher,Westside,
Stewart,Kaleb,Gerardo,Teacher,Southside,
Snider,Jase,Garrett,Student,Westside,1
Price,Presley,Eve,Student,Westside,10
Jordan,Fernando,Ezekiel,Teacher,Northside,
Jennings,Mckenna,Samantha,Student,Southside,7
Norris,Jordyn,Amiyah,Teacher,Westside,
Lowe,Kane,Zayden,Student,Southside,9
Mclaughlin,Viviana,Mikayla,Teacher,Northside,
Bartlett,Summer,Harley,Student,Westside,11
Sánchez,Dalton,Bowen,Student,Eastside,3
Valenzuela,Logan,Kaleb,Teacher,Northside,
Swanson,Richard,Ayden,Teacher,Eastside,
Holman,Nathaniel,Liam,Student,Southside,4
Greene,Kian,Ace,Teacher,Northside,
Prince,Bennett,Diego,Student,Eastside,4
Pope,Aviana,Evangeline,Student,Eastside,6
Vargas,Milan,Aarón,Student,Southside,6
Sánchez,Mya,Aurora,Student,Southside,12
Patrick,Iker,Taylor,Teacher,Eastside,
Adams,Alani,Anna,Student,Southside,7
Soto,Kristján,Fernando,Student,Eastside,4
Salazar,Jose,Dylan,Student,Northside,10
Larson,Ivy,Aspen,Teacher,Eastside,
Leach,Shawn,Davis,Teacher,Westside,
Wilson,Kyleigh,Lucia,Student,Eastside,8
Schneider,Millie,Selena,Teacher,Northside,
Schmidt,Elise,Annalise,Teacher,Westside,
Emerson,Nicolas,Ronan,Student,Westside,1
Hess,Ezra,Joseph,Student,Eastside,9
Ballard,Miguel,Jasper,Student,Northside,7
Guerrero,Avery,Evelyn,Teacher,Northside,
Gallagher,Simon,Johnathan,Teacher,Westside,
Mclean,Amir,Braylon,Student,Northside,2
Richardson,Desmond,Ezekiel,Student,Southside,1
Fernandez,Jeremy,Caleb,Teacher,Northside,
Hahn,Skye,Chloe,Student,Southside,2
Dixon,Anna,Lauren,Teacher,Eastside,
Mosley,Ember,Claire,Teacher,Northside,
Bean,Maliyah,Marley,Teacher,Northside,
Talley,Raiden,Archer,Student,Southside,8
Gregory,Eli,Luca,Teacher,Northside,
Baker,Peyton,Madilyn,Teacher,Eastside,
Bowman,Kyrie,Josiah,Teacher,Eastside,
Marks,Ada,Sadie,Teacher,Eastside,
Roberson,Braylen,Gavin,Student,Southside,4
Bullock,Wesley,José,Teacher,Southside,
Davidson,Taylor,Martin,Teacher,Eastside,
Weaver,Odin,Gregory,Student,Northside,10
Cantrell,Nico,Karson,Student,Westside,12
Guzman,Nayeli,Kayleigh,Student,Eastside,K
Cohen,Daniel,Adonis,Teacher,Southside,
Giles,Princeton,Connor,IT,Southside,
Haynes,Eloise,Lila,Teacher,Northside,
Walls,Omar,Charles,Teacher,Westside,
Weber,June,Margot,Student,Westside,11
Hernández,Kaitlyn,Julie,Teacher,Southside,
Turner,Francesca,Madilyn,Student,Westside,5
Barber,Yağmur,Zara,Teacher,Southside,
Boone,Arlo,Adonis,Teacher,Northside,
Fisher,Madeleine,Piper,Teacher,Westside,
Stark,Noel,Robert,Student,Southside,7
Mack,Donald,Ezekiel,Student,Southside,11
Mccoy,Augustus,Moses,Teacher,Southside,
Carrillo,Marley,Jamie,Teacher,Westside,
Bentley,Grayson,Marcos,Teacher,Southside,
Strickland,Makenna,Briella,Student,Northside,6
Warner,Julia,Selah,Teacher,Eastside,
William,Cristian,Johnathan,Student,Northside,7
Robbins,Natalia,Anaya,Student,Northside,7
Talley,Leonardo,Walter,Teacher,Eastside,
Gilbert,Ryan,Sean,Teacher,Southside,
Reyes,Vanessa,Dylan,Student,Eastside,12
Melton,Alana,Remi,Student,Eastside,K
Mckay,Annabelle,Diana,Student,Eastside,3
Bailey,David,Johan,Student,Westside,1
Cummings,Quinn,Edward,Student,Eastside,8
Tyler,Shane,Francisco,Student,Northside,11
Cooley,Cecilia,Evelynn,Teacher,Southside,
Harmon,Zara,Michaela,Student,Westside,4
Tucker,Sophie,Melody,Teacher,Northside,
Snow,Alexia,Melody,Teacher,Eastside,
Leonard,Jesse,Damien,Student,Northside,K
Pacheco,Shelby,Serenity,Student,Westside,6
Waters,Mohamed,Ryan,Teacher,Southside,
Gomez,Amelia,Amira,Student,Northside,6
Sykes,Marcus,Jeffrey,Student,Southside,10
Poole,Matthias,Maximus,Student,Southside,5
Foley,Tyler,Christopher,Student,Southside,1
Santos,Jaxson,Oscar,Teacher,Southside,
Fuentes,Dahlia,Evelynn,Teacher,Northside,
Gonzalez,Rylee,Averie,Student,Eastside,8
Bennett,Evie,Juliette,Teacher,Northside,
Terry,Caroline,Laura,Student,Southside,4
Ochoa,Ricardo,Archer,Student,Southside,10
Hughes,Angelina,Macie,Student,Eastside,6
Walker,Aylin,Ella,Student,Eastside,7
Hamilton,Julianna,Samantha,Teacher,Eastside,
Pérez,Hendrix,Esteban,Student,Eastside,7
Woods,Ana,Felicity,Student,Westside,10
Mcdaniel,Delilah,Sierra,Student,Eastside,6
Wilcox,Skyler,Evelyn,Student,Southside,10
Mccall,Génesis,Skye,Student,Southside,3
Hess,Destiny,Lilly,Student,Eastside,K
Grant,Addilyn,Josie,Teacher,Northside,
Beck,Aria,Freya,Student,Southside,11
Cannon,Remington,Carter,Student,Southside,2
Sullivan,Chelsea,Sara,Teacher,Eastside,
Hess,Maeve,Leilani,Student,Northside,8
Graves,Aiden,Erik,Teacher,Eastside,
López,Joy,Mila,Student,Westside,3
Oneal,Eduardo,Abraham,Student,Northside,5
Dunlap,Bella,Eliana,Student,Northside,4
Finley,Isabella,Hope,Student,Westside,5
Garza,Arya,Kamryn,Student,Westside,2
Bush,Riley,John,Teacher,Eastside,
Browning,Ace,Gael,Teacher,Northside,
Waller,Manuel,Louis,Teacher,Eastside,
Bowers,Heaven,Madison,Teacher,Westside,
Hicks,Prince,Julian,Student,Southside,9
Sánchez,Allie,Brooklyn,Student,Eastside,K
Terry,Kate,Sage,Teacher,Southside,
Ferguson,Francis,Luke,Student,Eastside,4
Perry,Vera,Emma,Teacher,Westside,
Pena,Camryn,Kylee,Student,Northside,7
Odonnell,Kamryn,Scarlet,Teacher,Southside,
Gardner,Briana,Kendall,Student,Westside,11
Small,Emily,Christina,Teacher,Northside,
Holden,Justice,Jenna,Student,Eastside,12
Dalton,Peyton,Hailey,Student,Eastside,12
Spencer,Stella,Melissa,Student,Northside,2
Ferguson,Evangeline,Esther,Student,Northside,6
Montgomery,Baylee,April,Teacher,Northside,
Banks,Jordan,Easton,Teacher,Eastside,
Carver,Shawn,Bodhi,Teacher,Eastside,
Parsons,Andy,Desmond,Student,Westside,K
Woodard,Preston,Miloš,Teacher,Eastside,
Stafford,Macie,Jayla,Teacher,Westside,
Wolf,Ryleigh,Eliza,Student,Westside,K
Charles,Griffin,Mohamed,Student,Westside,1
Martínez,Derek,Nash,Teacher,Eastside,
Summers,Dante,Ryder,Student,Westside,12
Yang,Adriel,Hugo,Student,Eastside,9
Blake,Jett,Shawn,Student,Northside,6
Daugherty,Kayla,Anaya,Student,Westside,4
Bartlett,Ezra,Dylan,Teacher,Southside,
Knox,Haley,Isabelle,Student,Eastside,2
Holmes,Jordan,Kevin,Student,Westside,10
Casey,Tanner,Rylan,Teacher,Southside,
Brooks,Michael,Jayceon,Teacher,Southside,
Kelly,Alison,Phoenix,Teacher,Southside,
Wiley,Skyler,Cadence,Student,Westside,7
Robbins,Rhys,Messiah,Teacher,Westside,
Maddox,Lucy,Juliana,Teacher,Northside,
Buchanan,Diana,Elizabeth,Teacher,Eastside,
Delgado,Drake,José,Student,Eastside,K
Mccormick,Jade,Hailey,Student,Northside,12
Christensen,Rachel,Marilyn,Teacher,Eastside,
Carlson,Maverick,Nicholas,Teacher,Westside,
Riddle,Jackson,Axel,Student,Southside,K
Malone,Johnny,Grayson,Student,Eastside,3
Pennington,Presley,Alina,Student,Eastside,4
Jackson,Silas,Remy,Student,Eastside,4
Walker,Kaitlyn,Kenzie,Student,Eastside,10
Parrish,Alan,Dalton,Student,Northside,6
Parks,Tomás,Miraç,Student,Westside,10
Austin,Lila,Mckinley,Student,Westside,1
Buchanan,Leland,William,Student,Northside,3
Gregory,Leon,Royce,Student,Eastside,2
Hernández,Miraç,Óscar,Teacher,Southside,
Calderon,Cody,Jorge,Student,Southside,6
Mathis,Angela,Carmen,Teacher,Southside,
Johns,Kayson,Raul,Teacher,Westside,
Ballard,Raven,Briana,Student,Westside,2
Michael,Morgan,Mckinley,Student,Southside,1
Fry,Tristan,Julius,Teacher,Eastside,
Salazar,Lilly,Lila,Student,Westside,1
Moon,Harlow,Hayden,Teacher,Southside,
Whitfield,Erik,Rafael,Teacher,Westside,
Herrera,Bella,Evelynn,Teacher,Eastside,
Dalton,Lawson,Titus,Teacher,Northside,
Adams,Caiden,Pedro,Student,Southside,2
Wilson,Rowan,Millie,Student,Westside,K
Fernandez,Lukáš,Roberto,Teacher,Southside,
Crosby,Mathias,Khalil,Teacher,Northside,
Kelley,Remi,Colette,Teacher,Southside,
Bell,Malaysia,Phoenix,Student,Northside,9
Hurst,Atticus,Royal,Student,Westside,K
Marks,Theodore,Esteban,Student,Westside,3
Crosby,Felix,Jacob,Teacher,Westside,
Moran,Jayson,Nicholas,Student,Northside,4
Johns,Graham,Trenton,Student,Westside,4
Pratt,Liam,Kason,Teacher,Eastside,
Cherry,Josue,Conor,Teacher,Westside,
Mayer,Emilia,Hannah,Teacher,Southside,
Duke,Cohen,Raiden,Student,Northside,12
Huffman,Matteo,Bodhi,Teacher,Northside,
Valentine,Makenzie,Alicia,Teacher,Northside,
Wilkinson,Zara,Kylie,Student,Eastside,7
Lara,Priscilla,Regina,Student,Westside,7
Dillard,Amiyah,Amelia,Student,Eastside,6
Giles,Ayla,Annalise,Student,Southside,2
Winters,Bryce,Benjamin,Student,Northside,11
Gamble,Rosemary,Yağmur,Teacher,Northside,
Odom,Hazel,Bethany,Student,Eastside,6
Monroe,Jamie,Myla,Student,Westside,3
Buchanan,Avianna,Maci,Teacher,Eastside,
Hubbard,Fiona,Reagan,Student,Northside,3
Weaver,Davis,Sergio,Teacher,Northside,
Chavez,Raiden,Hudson,Teacher,Northside,
Bradley,Regina,Jazmín,Teacher,Westside,
Hunter,Jackson,Justin,Teacher,Westside,
Freeman,Journee,Elaina,Teacher,Northside,
Shannon,River,Isaiah,Teacher,Southside,
Galloway,Mary,Lucia,Student,Southside,4
Solis,Marcus,Theodore,Student,Westside,4
Bowers,Sarai,Braelyn,Teacher,Northside,
Valenzuela,Emilio,Israel,Student,Westside,4
Murphy,Isabelle,Ashlynn,Teacher,Northside,
Humphrey,Enzo,Cody,Student,Northside,10
Elliott,Bradley,Jeremy,Student,Southside,6
Browning,Katie,Evangeline,Student,Westside,K
Dyer,Nicolas,Gael,Teacher,Westside,
Rivera,Derrick,Dylan,Student,Eastside,2
Keith,Jesús,Caiden,Teacher,Northside,
Carey,Fernando,Harvey,Teacher,Southside,
Maddox,Jayson,Logan,Student,Westside,9
Rivas,Danielle,Luciana,Teacher,Westside,
Benton,Avery,Salomé,Teacher,Westside,
Kim,Paige,Lexi,Teacher,Westside,
Zamora,Nasir,Winston,Student,Eastside,12
Mckinney,Jaden,Hüseyin,Teacher,Eastside,
Walters,Miles,William,Student,Southside,9
Santiago,Emiliano,Rocco,Teacher,Westside,
Christensen,Vivienne,Adelynn,Student,Westside,1
Bowen,Levi,Ian,Teacher,Southside,
Hopkins,Jose,Solomon,Student,Westside,10
Chaney,Marco,Jaxon,Student,Eastside,2
Hicks,Gracie,Daisy,Student,Westside,7
Nash,Thomas,Juan Sebastián,Teacher,Westside,
Foley,Zachary,Luca,Teacher,Northside,
Nguyen,Kamila,Sophie,Teacher,Southside,
Bush,Elias,Diego,Student,Northside,4
Cardenas,Diana,Ashley,Teacher,Westside,
Giles,Serena,Léa,Teacher,Southside,
Suarez,Julia,Lyric,Teacher,Eastside,
Steele,Vera,Julia,Student,Westside,9
Dorsey,Margot,Sara,Teacher,Southside,
Mosley,Nina,Angelina,Teacher,Westside,
Nolan,Harrison,Ayden,Student,Northside,10
Lane,Grant,Antonio,Teacher,Westside,
Randall,Margaret,Fernanda,Student,Southside,8
Parsons,Jack,Nathaniel,Student,Northside,12
Bradshaw,Conner,Clark,Teacher,Southside,
Pierce,Ryker,Samuel,Student,Westside,5
Tyler,Donovan,Karter,Teacher,Eastside,
Gill,Molly,Lana,Student,Westside,11
Watts,Blake,Aubrie,Teacher,Westside,
Berg,Alyssa,Charlie,Student,Northside,11
Russo,Lia,Kendall,Student,Southside,3
Chen,Maya,Rocío,Student,Northside,1
Alvarado,Joanna,Regina,Teacher,Westside,
Gallagher,Nevaeh,Penelope,Student,Eastside,4
Roberts,Kendrick,Jackson,Teacher,Southside,
Walton,June,Molly,Student,Eastside,5
Cummings,Colt,Julián,Teacher,Westside,
Rosales,Julian,Malachi,Student,Westside,12
Cabrera,Leon,Graham,Student,Northside,12
Ward,Shawn,Gregory,Student,Westside,3
Sloan,Nicholas,Brody,Teacher,Westside,
Odonnell,Martín,Solomon,Student,Northside,1
Hardy,Cruz,Ezekiel,Student,Southside,1
Moon,Colette,Mckenzie,Student,Eastside,3
Sánchez,Avianna,Alaina,Student,Southside,9
Richards,Milo,Andres,Student,Southside,8
Payne,Annabelle,Nayeli,Student,Westside,2
Alford,Philip,Diego,Teacher,Westside,
Lawrence,Ariel,Maxwell,Student,Southside,2
Riddle,Lauren,Skyler,Student,Southside,10
Lyons,Porter,Luis,Teacher,Northside,
Pérez,Gia,Aubree,Student,Westside,10
Jefferson,Brooklynn,Aria,Student,Westside,12
Molina,Lia,Macy,Student,Northside,6
Schultz,Sadie,Angela,Teacher,Southside,
Bullock,Martin,Hendrix,Student,Eastside,9
Barry,Sawyer,Maxwell,Student,Westside,3
Dixon,Easton,Dylan,Teacher,Northside,
Stanley,Amira,Kaia,Teacher,Westside,
Sanders,Audrey,Isla,Student,Westside,11
Collier,Gage,Easton,Student,Southside,2
Molina,Kaleb,Emmanuel,Student,Northside,1
Rowe,Lilah,Lillian,Student,Southside,6
Jacobs,Jaiden,Albert,Teacher,Northside,
Mcclain,Zoey,Willa,Student,Westside,K
Robertson,Andrés,Myles,Teacher,Eastside,
Sparks,Aviana,Daphne,Student,Northside,9
Boone,Justin,Silas,Student,Northside,12
Jennings,Carly,Victoria,Teacher,Southside,
Salinas,Oliver,Andrew,Teacher,Eastside,
Martinez,Jesus,Felix,Student,Southside,11
Glover,Jude,Elliott,Teacher,Westside,
Freeman,Levi,Anthony,Teacher,Eastside,
Ward,Gia,Journee,Student,Eastside,2
Mcfarland,Alan,Jude,Student,Southside,2
Kelley,Knox,Milo,Student,Southside,9
Lara,Tobias,Malachi,Teacher,Westside,
Knapp,Juliana,Evelynn,Student,Northside,5
Waller,Leonel,Everett,Student,Northside,12
Gould,Rocío,Sophie,Teacher,Eastside,
Fernandez,Stephanie,Alina,Student,Westside,10
Duran,Kyleigh,María,Student,Eastside,2
Dunlap,Elise,Lily,Teacher,Southside,
Hardin,Dalton,Javier,Student,Southside,K
Irwin,Ruby,Lucille,Student,Westside,1
French,Mario,Kamden,Student,Eastside,1
Orr,Kayson,Jack,Teacher,Westside,
Horn,Dominic,Matthias,Teacher,Eastside,
Ewing,Kylee,Brynlee,Teacher,Northside,
Hayden,Kaitlyn,Leilani,Student,Southside,4
Jenkins,Mariángel,Camille,Teacher,Eastside,
Lowery,Eliana,Rebecca,Teacher,Eastside,
Guy,Isaiah,Adriel,Teacher,Northside,
Brooks,Aidan,Drake,Student,Northside,10
Bowman,Seth,Luis,Teacher,Eastside,
Gates,Sarah,Lila,Teacher,Northside,
Lang,Léa,María José,Student,Westside,3
Clements,Ali,Grant,Teacher,Northside,
Hodge,Erick,Bryan,Student,Southside,2
Zamora,Chase,Clark,Student,Northside,9
Wilkins,Leah,Allyson,Teacher,Southside,
Holder,Lennox,Pablo,Teacher,Northside,
Johns,Luca,Johnny,Student,Northside,10
Goodwin,Eli,Ezra,Teacher,Eastside,
Mccullough,Jonas,Marshall,Student,Southside,11
Hopper,Aarón,Joaquin,Teacher,Southside,
Dotson,Isaac,Braylen,Teacher,Westside,
Avila,Adriel,Karson,Student,Eastside,4
Michael,Serenity,Sadie,Student,Westside,5
Hansen,Mathias,Hendrix,Teacher,Westside,
Faulkner,Kaia,Lucille,Teacher,Southside,
Snider,Braylen,Moises,Teacher,Westside,
Bonner,Erin,Kimberly,Teacher,Southside,
Roberson,Cesar,Chandler,Student,Northside,10
Castro,Aden,Cade,Teacher,Eastside,
Cortez,Amari,Holden,Teacher,Southside,
Floyd,Ismael,Brandon,Student,Westside,5
Hensley,Annie,Jenna,Student,Southside,6
Wilcox,Elle,Raelynn,Student,Westside,11
Greene,Jamison,Dallas,Teacher,Westside,
Burch,Joaquin,Jose,Teacher,Southside,
Aguirre,Philip,Bentley,Teacher,Southside,
Fulton,Gael,Tucker,Student,Northside,6
Foster,Brynlee,Miracle,Student,Southside,10
Morse,Alexia,Khloe,Teacher,Westside,
Norman,Janelle,Andrea,Student,Westside,9
Lynch,Katie,Lilly,Teacher,Eastside,
Hurst,Clara,Alessandra,Teacher,Northside,
Singleton,Shelby,Evie,Student,Westside,K
Clayton,Francis,Sergio,Student,Westside,8
Davenport,Archer,Alexis,Student,Northside,11
Graves,Angelo,Lucas,Teacher,Northside,
Reilly,Malcolm,Collin,Student,Northside,10
Crane,Luna,Amelia,Teacher,Eastside,
Alston,Everett,Hayden,Teacher,Westside,
Russo,Raven,Scarlett,Teacher,Westside,
Gibbs,Wesley,Christian,Teacher,Northside,
Higgins,Ryan,Grace,Teacher,Westside,
Day,Dexter,Archer,Teacher,Northside,
Lancaster,Alice,Kathryn,Teacher,Westside,
Heath,Lawson,River,Student,Westside,11
Dalton,Raymond,Wesley,Teacher,Eastside,
Noble,Marco,Jameson,Teacher,Westside,
Guerra,Vincent,Finnegan,Student,Westside,K
Martin,Victoria,Nylah,Teacher,Southside,
Cohen,Parker,Lawrence,Student,Southside,3
Brock,Gracelynn,Lydia,Teacher,Northside,
Ruiz,Kennedy,Amelia,Student,Southside,12
Tucker,Justin,Micah,Student,Eastside,9
Carver,Sawyer,Briana,Student,Southside,4
Tate,Allen,Kayden,Teacher,Northside,
Campos,Naomi,Layla,Student,Westside,12
Bell,Clayton,Jaiden,Teacher,Eastside,
Arnold,Maddox,Israel,Student,Westside,6
Nelson,Cade,Donald,Student,Southside,7
Preston,Damien,Xander,Student,Westside,2
Goodwin,Ember,Kira,Teacher,Southside,
George,Eli,Emmanuel,Student,Westside,7
Beck,Viviana,Malia,Student,Northside,11
Willis,Marilyn,Leila,Teacher,Northside,
Moore,August,Cameron,Teacher,Eastside,
Burgess,Charlee,Emilia,Teacher,Westside,
Martinez,Remi,Adelyn,Student,Eastside,4
Cobb,Gabriela,Hailey,Teacher,Southside,
Dorsey,Ryan,Payton,Student,Eastside,4
Mayo,Alicia,Angela,Teacher,Southside,
Malone,Nicolás,Juan Sebastián,Teacher,Eastside,
Justice,Lucille,Reagan,Student,Southside,3
Davenport,Camden,Christopher,Teacher,Northside,
Hartman,Quinn,Cadence,Teacher,Southside,
Bartlett,Alana,Aylin,Teacher,Eastside,
Merrill,Keira,Genesis,Student,Northside,10
Ray,María Fernanda,Adelina,Student,Eastside,8
Mullen,June,Mikayla,Student,Northside,8
Cobb,Mariana,Kara,Teacher,Northside,
Richardson,Emilio,Leonel,IT,Westside,
Oneal,Keira,Phoenix,Teacher,Westside,
Buck,Jade,Iris,Teacher,Northside,
Drake,Tobias,Joaquin,Teacher,Southside,
Gentry,Alan,Dylan,Student,Northside,9
Nichols,Enzo,Dylan,Teacher,Southside,
Haley,Kathryn,Evelynn,Teacher,Northside,
Mathews,Pedro,Julian,Student,Southside,11
Lyons,Angel,Brynlee,Student,Northside,5
Berry,Emmett,Pierce,Teacher,Eastside,
Burns,Matthew,Riley,Teacher,Westside,
Fischer,Antonio,Peter,Teacher,Westside,
Chandler,Harvey,Jason,Student,Northside,7
Cain,Delilah,Gracie,Student,Westside,6
Murray,Hope,Kendra,Student,Southside,10
Strickland,Alessandra,Ruby,Student,Southside,11
Gaines,Joel,August,Student,Westside,9
Boone,Grayson,Kyler,Student,Northside,12
Mccarty,Macy,Peyton,Teacher,Northside,
Cotton,Travis,Caden,Student,Westside,12
Rutledge,Abby,Daphne,Student,Southside,10
Buckley,Marshall,Emiliano,Student,Westside,9
Mendez,Adelaide,Jenna,Teacher,Southside,
Salinas,Leah,Erin,Student,Northside,3
Booker,Milan,Felix,Student,Westside,6
Frye,Rylan,Gavin,Student,Southside,9
Welch,Summer,Angel,Student,Westside,1
Wall,James,Brantley,Teacher,Southside,
Collier,Raegan,Mckenna,Teacher,Northside,
Watkins,Emmanuel,Esteban,Teacher,Westside,
Barber,Tristan,Ronald,Teacher,Northside,
Brady,Kayden,Samuel,Teacher,Southside,
Scott,Adriana,Layla,Teacher,Southside,
Hayden,Kiara,Annalise,Teacher,Northside,
Sherman,Gemma,Christina,Teacher,Southside,
Moreno,Atlas,Titus,Teacher,Eastside,
Ratliff,Elsie,Maggie,Student,Eastside,5
Williamson,Diana,Adrianna,Student,Eastside,12
Hughes,Haley,Sage,Student,Southside,4
Mcfadden,Morgan,Skye,Student,Northside,4
